episode,total_reward,target_reward,smoothed_total_reward_100,smoothed_target_reward_100
0,-356.4155595920587,-15.645467402463462,,
1,-395.0605651364364,-15.66428191415511,,
2,-215.15791842038468,-18.610370007263484,,
3,-368.2948902782108,-122.1313399379847,,
4,-339.6401537994415,-15.10715278275981,,
5,-156.9123002420382,-70.76495547107534,,
6,-449.1389266921339,-17.35240757233062,,
7,-392.12787067337024,-92.91129427046751,,
8,-182.51866255979212,-26.926899269965578,,
9,-247.7210648507447,-16.67590903681695,,
10,-297.15821474311525,-19.181437809779574,,
11,-260.57928399911674,-16.9190356733842,,
12,-167.04467068903776,-17.41069435663353,,
13,-281.47603178518256,-16.786610602120078,,
14,-151.20917868595575,-21.654501107686524,,
15,-272.2841771237022,-26.94379607440118,,
16,-165.34626153017476,-21.36270844680148,,
17,-207.23219736751645,-70.47691883172466,,
18,-141.12460000064158,-18.13593017555225,,
19,-340.04204080431293,-17.75381608458148,,
20,-315.8540089136998,-19.085212022714256,,
21,-249.1825293028227,-78.73581227376276,,
22,-353.45368238961083,-41.692849634474356,,
23,-369.2856157202523,-18.02325292125659,,
24,-194.87370767047338,-18.570547347031603,,
25,-274.7061251286692,-23.56774719825695,,
26,-346.9096718371393,-17.526028117100147,,
27,-293.51587202439873,-18.45271585826796,,
28,-151.85801063613297,-27.822414766004975,,
29,-220.76474817553924,-37.43879452832308,,
30,-212.86443020076015,-58.041093061807736,,
31,-379.80385391638106,-18.88816538213033,,
32,281.82615217400377,-68.96504697387662,,
33,-326.11656469558295,-23.476749130543023,,
34,-379.6673452910492,-36.25017564088023,,
35,-269.0088864541256,-18.15138975846864,,
36,-392.94019291241585,-18.014149569233105,,
37,-239.7150806810601,-19.841081321866486,,
38,-239.23841513138143,-33.423689399091835,,
39,-323.9877073132046,-17.562307188969076,,
40,-354.7453761940594,-24.987658104330457,,
41,-371.595723217938,-21.81525296900913,,
42,-263.23908664857686,-24.029429928632023,,
43,-339.8208370161029,-19.449755984181284,,
44,-275.9852960371653,-49.36020106505845,,
45,-385.8613827173513,-99.64863724267028,,
46,-284.8194769989766,-50.08614535435164,,
47,-356.6312503993481,-39.51242605355307,,
48,-334.12030398548063,-17.214790364160397,,
49,-273.3051696608916,-38.9366528461239,,
50,-279.49926748886793,-18.183409662896963,,
51,-334.082071912839,-56.1992688818568,,
52,-244.2497279503648,-18.441879587809826,,
53,-321.7956793962743,-88.01158885663172,,
54,-327.2239247313256,-19.281569121252428,,
55,-365.13913206942954,-17.024975672603865,,
56,-357.9285277437424,-38.01792174884587,,
57,-344.15092199485866,-31.15038290715896,,
58,-312.4469021447176,-16.305736977289847,,
59,-357.2317713940502,-70.51590762561796,,
60,-384.09956198807873,-28.866336417798244,,
61,-324.46786026859206,-56.82489860961278,,
62,-312.3800947962685,-21.105281356360397,,
63,-341.06755373028307,-40.287747170392805,,
64,-369.81641754058677,-16.437075516130438,,
65,-348.8322279231055,-18.460324800222228,,
66,-391.2325594604526,-14.714137152672814,,
67,-395.6722309759691,-20.03640726623464,,
68,-396.6505346896421,-23.95808723466682,,
69,-284.0975875488258,-25.958636501608293,,
70,-296.0247211999962,-44.51141754866846,,
71,-303.0039706805146,-32.044222437342505,,
72,-351.99278226443084,-15.33669649763636,,
73,-335.46563801690047,-20.309253188092644,,
74,-319.44744733466376,-87.641842717377,,
75,-374.745642901735,-80.03103805287267,,
76,-343.0959259044344,-22.641013593056908,,
77,-312.837597606146,-16.363476448505924,,
78,-397.2540372135339,-44.81453736832997,,
79,-418.6396098086403,-115.53064474845853,,
80,-368.10892201095805,-50.60832168618357,,
81,-208.43816668493557,-22.1305453426195,,
82,-426.22413695548886,-14.264101937396912,,
83,-349.689388335543,-24.91092318608513,,
84,-277.7743842097764,-59.606630925118445,,
85,-273.2924344361628,-22.180185033491487,,
86,-242.3509047817305,-86.02728290817669,,
87,-297.16603278966977,-23.78259737289519,,
88,-419.24485740790595,-20.166539961158616,,
89,-440.8662206863864,-19.0582906343286,,
90,-461.89828066606196,-35.98542772657566,,
91,-248.40907995723154,-14.914839410233688,,
92,-380.29269279571884,-19.964745805633942,,
93,-371.46888786347847,-128.76306479245244,,
94,-447.9806461654701,-50.080709284084364,,
95,-471.5656636119425,-10.910729948936561,,
96,-409.2553955071574,-13.02367753867639,,
97,-424.753810836699,-11.744442988836123,,
98,-430.7377494008299,-135.4057989686624,,
99,-451.4393906869243,-31.658967402461784,-315.24057742539304,-35.7117923735609
100,-444.3706710446179,-79.14894292433658,-316.1201285399186,-36.34682712877963
101,-492.0414780944303,-111.35248775206432,-317.0899376694985,-37.30370918715873
102,-414.62570387317635,-93.65928432774162,-319.08461552402645,-38.05419833036351
103,-479.5272965014808,-99.04401425546509,-320.1969395862592,-37.823325073538314
104,-386.85033736300323,-14.341223587544915,-320.66904142189475,-37.81566578158617
105,-510.42010861485426,-16.076750478992903,-324.2041195056229,-37.268783731665344
106,-499.5393235526909,-56.226315395305626,-324.70812347422844,-37.6575228098951
107,-492.05317628232933,-13.290718008703749,-325.707376530318,-36.86131704727745
108,-479.5542300775481,-52.53573063874485,-328.6777322054956,-37.11740536096524
109,-522.7799750905197,-110.28885723193802,-331.4283213078934,-38.05353484291645
110,-491.79998580574454,-69.1723518893504,-333.3747390185197,-38.553443983712164
111,-394.809726151907,-17.31823769329647,-334.7170434400476,-38.557436003911285
112,-572.9955904930396,-17.08415904753174,-338.7765526380876,-38.55417065082026
113,-518.0431964629186,-59.55056452225384,-341.142224284865,-38.9818101900216
114,-524.2157303644026,-13.589124612148748,-344.8722898016494,-38.901156425066226
115,-450.8697953692786,-102.03080664021824,-346.65814598410515,-39.6520265307244
116,-363.66542507207055,-52.867888383969735,-348.6413376195241,-39.96707833009608
117,-429.2163452563068,-19.288066545828492,-350.86117909841204,-39.45518980723711
118,-636.4425294024363,-129.59682465740678,-355.81435839243,-40.569798752055654
119,-454.74422552593217,-17.25293106164122,-356.9613802396462,-40.56478990182625
120,-462.43626152321497,-75.29276288357116,-358.4272027657413,-41.126865410434824
121,-462.7481458911236,-15.549747624407916,-360.56285893162436,-40.49500476394128
122,-361.8212039779323,-117.76437453673854,-360.64653414750757,-41.25572001296392
123,-438.1147762187664,-11.946199059720009,-361.33482575249263,-41.19494947434856
124,-424.723270992645,-96.3111157954548,-363.6333213857144,-41.97235515883279
125,-413.684130221165,-51.1001553384187,-365.02310143663937,-42.24767924023441
126,-448.4626181750785,-80.93740094897531,-366.0386309000188,-42.881792968553164
127,-301.28104615037313,-164.2862679970416,-366.11628264127853,-44.340128489940895
128,-566.5768769609614,-57.43768990262018,-370.2634713045268,-44.63628124130704
129,-562.0435172683722,-123.05746192826167,-373.67625899545504,-45.49246791530642
130,-380.87731951628297,-78.01088936538478,-375.35638788861024,-45.69216587834219
131,-454.78434517417145,-56.9579910110468,-376.1061928011882,-46.07286413463137
132,-336.051686003504,-73.45029332712878,-382.28497118296326,-46.11771659816389
133,-386.39638616547904,-20.556419728707628,-382.8877693976622,-46.08851330414553
134,-413.4115547392234,-23.809561840467634,-383.225211492144,-45.96410716614141
135,-434.6586819992655,-73.22279289047579,-384.8817094475954,-46.51482119746147
136,-503.38313659746643,-14.677232026970152,-385.98613888444584,-46.48145202203885
137,-392.61989419946497,-52.30689840514701,-387.51518701962993,-46.80611019287166
138,-445.20915467796135,-83.4151342978607,-389.57489441509574,-47.306024641859345
139,-282.4440855374308,-42.27575062790639,-389.159458197338,-47.553159076248726
140,-358.6545557571417,-34.14206751986857,-389.1985499929689,-47.6447031704041
141,-317.71249882411576,-15.853536793809775,-388.6597177490306,-47.585086008652105
142,-352.2234750725021,-116.60287828474627,-389.5495616332699,-48.51082049221324
143,-405.88022586948017,-12.07183862451954,-390.2101555218037,-48.43704131861662
144,-356.0203955516664,-15.049347321431956,-391.01050651694874,-48.093932781180364
145,-401.7730303945709,-75.61616641231032,-391.1696229937209,-47.85360807287677
146,-543.3077870495565,-30.625852011383557,-393.75450609422666,-47.65900513944709
147,-511.47717370019456,-86.60010936728334,-395.30296532723514,-48.12988197258439
148,-426.65160777193097,-123.64979350027949,-396.2282783650996,-49.19423200394559
149,-444.6341288401044,-15.837332076469567,-397.94156795689173,-48.963238796249044
150,-451.50266759372334,-55.475770244532086,-399.6616019579403,-49.33616240206539
151,-415.56643671319364,-54.76353017797111,-400.47644560594387,-49.321805015026534
152,-278.38621218880985,-34.476212943740286,-400.8178104483283,-49.482148348585845
153,-359.5403193953788,-30.37799402457473,-401.1952568483194,-48.90581240026527
154,-330.85611424090115,-56.677581490167185,-401.2315787434151,-49.27977252395442
155,-281.1206542453932,-38.296611135573315,-400.39139396517476,-49.49248887858411
156,-287.51704750202197,-34.51105119097234,-399.6872791627576,-49.457420173005374
157,-294.8486679108229,-95.58803965200477,-399.1942566219172,-50.101796740453835
158,-372.14465531936503,-14.216953912016928,-399.7912341536636,-50.0809089098011
159,-353.7413541215919,-14.179584956983103,-399.7563299809391,-49.517545683114754
160,-601.9129735733312,-124.09557122455496,-401.93446409679154,-50.46983803118232
161,-406.4413236408639,-114.16176613909138,-402.7541987305143,-51.04320670647711
162,-348.5375443402269,-47.449694855271794,-403.11577322595394,-51.30665084146622
163,-416.6194962590534,-66.68017543573106,-403.8712926512416,-51.57057512411961
164,-327.5849016223937,-14.407678814572114,-403.4489774920597,-51.55028115710402
165,-404.44838921451856,-85.82199748820608,-404.00513910497386,-52.22389788398385
166,-347.85356776450607,-68.07538293256118,-403.5713491880144,-52.757510341782734
167,-339.89383561699475,-76.6501709891622,-403.0135652344246,-53.32364797901201
168,-455.8238492484791,-63.64206083522073,-403.60529838001304,-53.720487715017555
169,-393.95289306372257,-33.036572500198915,-404.70385143516194,-53.79126707500346
170,-377.5405647265468,-18.894095089954085,-405.51900987042745,-53.535093850416324
171,-313.77024796973177,-15.511604234860004,-405.62667264331964,-53.369767668391496
172,-492.1108414245498,-17.351061437377204,-407.02785323492077,-53.38991131778891
173,-341.67749491126364,-45.38373997097049,-407.0899718038645,-53.640656185617686
174,-277.93494428337806,-64.60192797974636,-406.67484677335165,-53.41025703824138
175,-474.4902402418547,-17.05158315925892,-407.6722927467529,-52.780462489305236
176,-267.09239333233575,-16.846997320553626,-406.9122574210319,-52.722522326580204
177,-393.04310427841114,-22.266856771707563,-407.71431248775446,-52.781556129812216
178,-274.1301690659421,-22.345681596773353,-406.4830738062786,-52.55686757209666
179,-302.3770368644249,-56.696027434685234,-405.3204480768364,-51.96852139895893
180,-280.8404155914102,-109.48733895816653,-404.4477630126409,-52.55731157167875
181,-271.1796733333629,-68.58762949436031,-405.0751780791252,-53.02188241319617
182,-248.9838190263741,-17.971013090312084,-403.3027748998341,-53.05895152472531
183,-378.58032281506433,-19.205159874636294,-403.5916842446293,-53.00189389161081
184,-393.11864701465726,-31.36113119818139,-404.74512687267816,-52.719438894341444
185,-324.52632194221815,-100.1657826660321,-405.25746574773865,-53.49929487066685
186,-197.50273106945684,-18.395654516658475,-404.80898401061586,-52.82297858675168
187,-365.55677382379605,-44.6511566528002,-405.4928914209571,-53.03166417955073
188,-259.26818795635836,-53.614128176873606,-403.8931247264416,-53.366140061707874
189,-483.5230758357263,-71.8526482767058,-404.319693277935,-53.89408363813165
190,-421.5645107260322,-14.871487680380861,-403.91635557853476,-53.682944237669695
191,-363.6299482771038,-17.258946144560394,-405.0685642617335,-53.706385305012965
192,-333.79626542259564,-103.74582888383713,-404.6035999880023,-54.544196135795005
193,-284.88877420172844,-121.88028693158985,-403.7377988513848,-54.475368357186376
194,-384.51914473003035,-16.83955373347524,-403.1031838370304,-54.142956801680285
195,-367.3800820460111,-54.49334334123871,-402.06132802137097,-54.578782935603314
196,-312.36135889753695,-35.37649680024632,-401.09238765527476,-54.80231112821901
197,-236.21733935226374,-17.90750975952912,-399.2070229404305,-54.863941795925946
198,-273.6800595309272,-28.852115992757255,-397.63644604173146,-53.798404966166885
199,-391.67835902163137,-48.82011748224576,-397.0388357250785,-53.97001646696472
200,-284.2773058889308,-17.27360518050881,-395.4379020735216,-53.35126308952644
201,-481.7938983813502,-15.036748518243227,-395.3354262763908,-52.38810569718823
202,-328.57891662477823,-15.551659823606979,-394.4749584039069,-51.60702945214688
203,-244.3611152904379,-95.2261369165208,-392.1232965917965,-51.56885067875744
204,-178.47302255874513,-18.274527728089918,-390.0395234437539,-51.60818372016289
205,-258.3391642186534,-77.5265448556436,-387.5187139997919,-52.2226816639294
206,-208.58151151826223,-45.83495067790812,-384.6091358794476,-52.118768016755425
207,-423.68019151633894,-13.886219519195794,-383.92540603178765,-52.12472303186034
208,-292.8100570682345,-81.64310797014048,-382.0579643016945,-52.415796805174296
209,-353.96028782920536,-50.725496107207064,-380.3697674290813,-51.82016319392698
210,-307.9056801130337,-134.38625636106823,-378.5308243721542,-52.47230223864416
211,-241.73570230861085,-48.73908279289842,-377.00008413372126,-52.78651068964018
