episode,total_reward,target_reward,smoothed_total_reward_100,smoothed_target_reward_100
0,-240.88989328581843,-66.92338155922732,,
1,-442.105979947715,-83.47356893336114,,
2,-243.12726787825613,-41.75155585567023,,
3,-205.52909048719522,-29.775893819260162,,
4,-365.2267642398391,-29.47385796506611,,
5,-240.5487126069953,-53.125976649412706,,
6,-206.1084133088602,-10.97746533406303,,
7,-147.53837303710975,-13.748071801125352,,
8,-252.6871741188215,-76.94738105213888,,
9,-146.89060936478484,-17.779852025119993,,
10,-145.00344054856134,-15.418167011686752,,
11,-190.5550209309143,-63.62553169726742,,
12,-129.72033038484952,-59.461467540499804,,
13,-288.4618193725319,-13.604610381520311,,
14,-146.3433874756408,-18.182565822788806,,
15,-140.81983923577982,-12.803229358606542,,
16,-206.1723205172624,-20.416957567575704,,
17,-164.7289976897114,-12.420084224622064,,
18,-220.13015667299672,-13.363622810138734,,
19,-121.00686979291225,-17.6196983076233,,
20,-187.48908474900284,-14.689627090498158,,
21,-231.53782460725327,-15.95150567197251,,
22,-158.06869568902775,-18.28458371553895,,
23,-189.47212014990762,-16.504579162322162,,
24,-172.47071821030195,-16.66710877624572,,
25,-183.36014505962652,-19.851289498457476,,
26,-155.25345737253355,-15.991403360749167,,
27,-135.80974536661427,-15.349769896692262,,
28,-147.5373317480558,-32.978684543214946,,
29,-92.10861397562948,-40.967120277997296,,
30,-147.07916535021286,-39.359941010577735,,
31,-198.29846935692743,-15.914783602021876,,
32,-127.19604326646302,-17.227148340778495,,
33,-185.05259821846454,-14.062527266830724,,
34,-203.5310856772462,-17.613266047682355,,
35,-110.3284786769049,-17.22041396607242,,
36,-139.69003197252792,-15.499557194778994,,
37,-147.69407212327923,-64.47258572048598,,
38,-143.37595684619558,-16.252935824053505,,
39,-165.37715059403223,-25.006446259595656,,
40,-124.98815383532238,-17.34129222030582,,
41,-192.63586874667402,-34.28888863515407,,
42,-127.2038005455853,-14.910829189048446,,
43,-63.60776070228953,-16.819696605932105,,
44,-147.05831846331535,-18.284114818250995,,
45,-124.22878028238122,-56.59485081612743,,
46,-178.05759219591457,-13.549607760299407,,
47,-129.77487970926595,-29.666584887778793,,
48,-112.32723962095152,-17.90870392310191,,
49,-203.95248417883778,-16.196209284114076,,
50,-142.9251237938708,-16.15987868301793,,
51,-79.21220197264518,-52.95919296504099,,
52,-209.11173767864733,-35.03377344629633,,
53,-116.51788615917083,-16.701384406608856,,
54,-222.20837205695972,-21.747859176507145,,
55,-138.60768347997146,-15.723549278202862,,
56,-169.56344641075344,-20.395869360834975,,
57,-169.0346210453627,-13.94582349830116,,
58,-143.07708985155372,-15.22364199830863,,
59,-205.2054342523249,-14.36755957054493,,
60,-191.59920583391838,-18.851998005547866,,
61,-158.6545420010697,-18.484953826974113,,
62,-146.68349851946041,-15.241660801640574,,
63,-212.87580603503437,-39.49832520309199,,
64,-195.83271202958107,-38.21803834844542,,
65,-152.50382762524413,-12.052665351137932,,
66,-239.10329419237354,-11.261138840922232,,
67,-122.16516441824565,-15.122499832533231,,
68,-139.3120160995752,-30.915453099357073,,
69,-92.27468266868702,-14.493539719988359,,
70,-157.34336258651334,-55.4279093151728,,
71,-163.99714675812075,-27.84183942751789,,
72,-182.27842267311115,-14.271925562873136,,
73,-192.63364070770237,-13.271675300329244,,
74,-223.57266593438953,-17.792801216228742,,
75,-197.88718834135915,-12.52703988743508,,
76,-310.3714423966892,-19.11610641013508,,
77,-193.4332588567629,-85.99801963086985,,
78,-175.0433111175767,-12.801832438590237,,
79,-140.2233788148768,-12.10964547333374,,
80,-96.383127927699,-12.707903195681467,,
81,-211.79767789365167,-14.777008131490133,,
82,-124.49553543088135,-51.99180142173921,,
83,-132.7629827533683,-15.985157962195442,,
84,-189.5406769659926,-19.32989697615896,,
85,-195.5116135533423,-11.23540425050714,,
86,-175.3959923457855,-28.07485893437372,,
87,-142.35799041369697,-15.205352652082695,,
88,-247.89360308728908,-15.360709247072602,,
89,-155.6521434003964,-14.1795102521415,,
90,-229.42917768631872,-16.20590473866854,,
91,-176.4709428155656,-16.61847822616395,,
92,-129.63862735450405,-16.30424349626026,,
93,-110.86039176816624,-16.701145611823275,,
94,-138.0152052545304,-16.35092005594108,,
95,-108.34963344616787,-12.495720171054307,,
96,-171.07654923541412,-15.302905974089517,,
97,-187.22629229577373,-12.224675474311677,,
98,-230.6861824981462,-14.440117166972609,,
99,-123.99549458672037,-12.889121180401304,-173.28952133212263,-24.12257430278372
100,-184.03586051583395,-13.573150258640567,-172.72098100442278,-23.589071989777853
101,-127.68655631766481,-13.870685257754472,-169.57678676812228,-22.893043153021786
102,-125.90241423701627,-13.542243482020622,-168.40453823170986,-22.610950029285288
103,-235.84351470132097,-59.73999839811288,-168.70768247385112,-22.910591075073818
104,-135.63896029473756,-14.064957429437905,-166.41180443440012,-22.756502069717534
105,-110.38672301724588,-14.213587165118343,-165.11018453850264,-22.36737817487459
106,-146.91654060893268,-16.741546068586924,-164.51826581150337,-22.425018982219832
107,-145.7416912441734,-9.243721216172275,-164.500298993574,-22.379975476370298
108,-163.91030682853395,-14.653374046112843,-163.6125303206711,-21.757035406310038
109,-184.55127801504796,-15.47524799660874,-163.98913700717375,-21.73398936602492
110,-137.43616159621374,-12.18877103210636,-163.9134642176503,-21.70169540622912
111,-149.66682544846628,-15.008368155076143,-163.5045822628258,-21.215523770807206
112,-127.48435038941889,-11.255901232565426,-163.48222246287148,-20.733468107727866
113,-156.61753507490795,-14.529671806764934,-162.16377961989522,-20.742718721980307
114,-178.16152123211793,-14.265151220895333,-162.48196095746002,-20.70354457596137
115,-132.88648167345167,-51.633632259462,-162.40262738183674,-21.091848604969925
116,-170.93715415820134,-11.825637962811772,-162.05027571824613,-21.005935408922287
117,-166.491924009885,-12.027863624066827,-162.06790498144784,-21.00201320291674
118,-206.78400942651632,-10.186843364783462,-161.93444350898304,-20.970245408463185
119,-208.69230207106858,-12.165770024987483,-162.8112978317646,-20.915706125636827
120,-199.61557089847233,-8.335684181561039,-162.9325626932593,-20.852166696547457
121,-160.0371355704797,-12.195440138931412,-162.21755580289158,-20.81460604121704
122,-296.8352603215377,-11.814349454761208,-163.60522144921669,-20.749903698609266
123,-200.85181649997372,-12.682308415833493,-163.71901841271736,-20.71168099114438
124,-173.45111321613723,-9.325075713009848,-163.72882236277573,-20.63826066051202
125,-190.7556862705548,-12.20568898710486,-163.802777774885,-20.5618046553985
126,-242.4300986699248,-10.367263858261337,-164.67454418785888,-20.50556326037362
127,-218.36732611716093,-10.366421721199808,-165.50011999536434,-20.455729778618696
