episode,total_reward,target_reward,smoothed_total_reward_100,smoothed_target_reward_100
0,-494.3182542271178,-61.23923508206202,,
1,-284.5208251990896,-18.12555341360189,,
2,-400.1594146947472,-17.44855462870912,,
3,-562.3528476983852,-13.562779037177243,,
4,-321.26365399644976,-32.10347692483584,,
5,-379.0365391600376,-20.01615751547966,,
6,-348.5635945919029,-17.411388095977728,,
7,-304.8416100893659,-63.024163568239445,,
8,-398.97376153930327,-14.892519244990543,,
9,-303.3293386231881,-55.039642838132735,,
10,-311.073863132302,-46.8652462091235,,
11,-457.0907120961961,-16.238218321080996,,
12,-338.9994720305027,-66.36815760800026,,
13,-442.95211475668384,-13.48100065963387,,
14,-302.9182443581301,-17.884249231881626,,
15,-193.83153853421024,-17.882647437431125,,
16,-446.6677353558528,-16.93341159993299,,
17,-374.6571620458469,-65.09401422500635,,
18,-451.6665347554614,-51.2325709297029,,
19,-445.65003339650457,-20.227612072120028,,
20,-462.79264436396807,-16.757150082314546,,
21,-312.4677303350151,-18.256715083783106,,
22,-328.29716699172184,-19.22384508775902,,
23,-349.21100598330884,-67.43080971687162,,
24,-413.32613606345967,-69.22738748943443,,
25,-363.58640113640035,-64.54526171811067,,
26,-344.6719345525125,-16.660827298095626,,
27,-410.37290134252305,-17.529969987539516,,
28,-368.68492794406575,-19.077548854021302,,
29,-449.6780355187827,-53.680602006097786,,
30,-553.2844209008375,-23.671662591741217,,
31,-432.76349442090736,-18.82786123231021,,
32,-316.3457511993746,-20.649924349645804,,
33,-443.20828488287395,-58.204421021191365,,
34,-464.54107674604677,-25.579715449891644,,
35,-477.36612126358165,-75.0037845273512,,
36,-256.89723288780937,-20.156455724718633,,
37,-476.60988960844423,-16.911023065044304,,
38,-447.31587099008306,-92.55550081539693,,
39,-433.30645601565993,-15.815853538536567,,
40,-448.8024054712103,-92.85042502102283,,
41,-349.35687445133783,-30.77220334125553,,
42,-475.25740592371983,-23.48114961733164,,
43,-412.2292699795673,-18.425445208120227,,
44,-448.94486426426835,-23.573687899044458,,
45,-422.43609918929604,-20.726910449183254,,
46,-385.50007961096344,-54.075117355180794,,
47,-454.7774543312068,-19.42706275107282,,
48,-432.678494154115,-53.30313590760768,,
49,-447.98686448456596,-23.891510134153478,,
50,-401.3983616786885,-18.576613832506723,,
51,-327.19552751743055,-17.729492577826775,,
52,-385.488215942346,-74.33069353320612,,
53,-417.0729139631712,-30.591966037450348,,
54,-385.8561428291668,-74.34871634948182,,
55,-335.4883793899212,-45.22700315611133,,
56,-417.31339520245575,-22.560616216753196,,
57,-420.4663535149306,-17.513495165208106,,
58,-459.0503170637282,-20.536474682751326,,
59,-405.6795325030002,-115.81940749026991,,
60,-280.68210349815377,-26.714004343415162,,
61,-423.89296203461134,-49.530832502491556,,
62,-395.46913501702926,-62.0837596486768,,
63,-371.2483942417974,-55.32998715966165,,
64,-371.51167617272023,-69.74306646023106,,
65,-479.4056827926438,-26.17027411530912,,
66,-400.7831279316721,-59.515976271191434,,
67,-317.6029208487218,-56.903457648147,,
68,-430.3657374293429,-24.201201743022537,,
69,-397.3671612120158,-61.967141283023025,,
70,-366.3427700530065,-66.63131299767758,,
71,-438.99096939990096,-68.92287507570204,,
72,-387.4576924885018,-18.41159112616001,,
