episode,total_reward,target_reward,smoothed_total_reward_100,smoothed_target_reward_100
0,-187.33236956724096,-42.792523654478046,,
1,-465.2834741088323,-41.541700398031786,,
2,-562.6459426046416,-22.065850479748978,,
3,-407.8602638230401,-16.172411273882403,,
4,-392.0492644375076,-68.08708862304216,,
5,-376.83171163402716,-31.219436604952957,,
6,-260.7966238361628,-29.53369192921079,,
7,-514.466591120349,-96.17701409329206,,
8,-506.3661409520574,-15.417642794701605,,
9,-432.13625097757205,-51.73974903416315,,
10,-422.2430296146184,-33.39724800552194,,
11,-281.0963305895776,-24.909904015680656,,
12,-226.6624035025845,-18.609495895608955,,
13,-358.0427845776594,-104.59070373903596,,
14,-510.7670963620475,-100.07092001755973,,
15,-283.71669793486086,-65.64615055267127,,
16,-446.0912196190008,-62.64131922412237,,
17,-264.47419705133655,-86.99446602883101,,
18,-384.67846375161133,-19.117477716686633,,
19,-222.08477679773523,-38.987586939639,,
20,-465.41882149732,-123.39245080938643,,
21,-442.92692398515976,-21.010771008148534,,
22,-270.1215109270817,-24.598735653376064,,
23,-282.6031563297399,-59.45610847302467,,
24,-240.52195875672015,-18.420289499349185,,
25,-286.29061703388635,-92.6269201113036,,
26,-180.79045709883593,-17.46884498670965,,
27,-456.77014974674535,-36.55982548461598,,
28,-320.80011904331275,-36.962452849862736,,
29,-262.3264686420099,-14.524975290793996,,
30,-231.15748235887511,-51.313015800219084,,
31,-220.79865991122932,-22.542435763695842,,
32,-405.17868839377047,-63.91816039015413,,
33,-314.633302154866,-35.12658624126709,,
34,-100.59408198934003,-186.6668677102375,,
35,-251.213052175495,-47.20753566891997,,
36,-201.26190022708937,-17.240784154884185,,
37,-173.03887599380198,-141.31910698783378,,
38,-217.9647842562452,-97.69721104460743,,
39,-319.3797643381388,-137.37762364733075,,
40,-143.5917953888987,-139.44876844506896,,
41,-194.5565014754728,-43.881022062105856,,
42,-334.18682429779824,-79.07534581103795,,
43,-108.48013751584017,-62.41531603706324,,
44,-341.304845268712,-148.73233241296847,,
45,-221.98617623599242,-48.57157819318053,,
46,-395.6331561381496,-131.38079487643463,,
47,-288.62756354028704,-96.11300785881163,,
48,-239.6220628780154,-44.019157074272094,,
49,-335.678039745965,-76.37944351331603,,
50,-279.6715147119158,-140.02925643116293,,
51,-342.25421177508855,-34.00745998048438,,
52,-360.6716011200365,-100.99282043878799,,
53,-383.7583923398411,-176.59540371048163,,
54,-362.55203586122224,-97.23778850929504,,
55,-142.9539039905136,-126.0619293006466,,
56,-391.8579429822996,-141.1903744873371,,
57,-305.522183623975,-53.16665484595145,,
58,-264.59422808869334,-120.55129806033656,,
59,-243.3380545707126,-112.31780470351373,,
60,-249.37884315050843,-24.70833155931145,,
61,-237.03244121443348,-86.6873274874557,,
62,-351.2152213068663,-132.32665606203543,,
63,-95.75877763072184,-49.75975418845512,,
64,-236.1625031841232,-21.66992204751578,,
65,-280.4519739445299,-70.8837558147771,,
66,-317.2495275959592,-78.11084812616947,,
67,-350.5273663912569,-61.0812979184381,,
68,-72.74993951033612,-34.8932551901691,,
69,-269.19412478370606,-79.10060003574509,,
70,-319.60007538518755,-38.18315811048977,,
71,-325.0719332323943,-105.68932075375594,,
72,-270.05196120872233,-103.08104183386921,,
73,-318.40980927027,-25.766135599264466,,
74,-344.76640793652035,-55.29943447397642,,
75,-347.9204244735383,-30.924938351381464,,
76,-372.53932007762756,-15.241251996196915,,
77,-190.04037197314304,-14.847363978584907,,
78,-308.48119662705534,-20.141807334887858,,
79,-303.38975905651216,-47.655686311658194,,
80,-262.8722032314968,-16.486892061707927,,
81,-348.1130493605809,-26.633348085800307,,
82,-319.1140443757786,-16.25708687380457,,
83,-305.6951400733995,-104.92015687977775,,
84,-392.7916512397491,-64.18432960788176,,
85,-138.61090234200992,-27.298084440310916,,
86,-361.2600650920702,-30.420464758567327,,
87,-383.9147380082414,-13.807965223187889,,
88,-278.5339108225511,-27.225997098713076,,
89,-261.32969829170224,-18.811687335034385,,
90,-183.536779211705,-47.61412039548285,,
91,-169.64527859872385,-18.874196956160468,,
92,-263.04182242981153,-16.07191559951725,,
93,-317.55372141872306,-15.903097881937459,,
94,-226.35123287405423,-23.84222300900202,,
95,-241.2129367821684,-18.569993394055146,,
96,-201.26774633834478,-81.39843635546724,,
97,-268.72015619707923,-18.161534334147106,,
98,-186.06280111219897,-46.144703518679336,,
99,-402.63037917555715,-56.64865279582715,-299.02507814200914,-59.72637413128038
100,-254.77769844753234,-19.09463359748166,-299.69953143081204,-59.489395230710414
101,-264.1389870969458,-58.81741286128523,-297.68808656069325,-59.66215235534295
102,-312.30413409881146,-66.56218294628381,-295.1846684756349,-60.10711568000829
103,-238.66382673828872,-19.49259619835212,-293.4927041047873,-60.14031752925299
